,modis,gldas,gridmet
2007-12-01,968132.6181793213,414558.04779052734,922458.4782028198
2008-01-01,1226646.791152954,521830.9945678711,1127914.0998458862
2008-02-01,1865245.6748199463,783226.8814086914,1245604.9445343018
2008-03-01,1760006.3605499268,1557194.5733642578,1419115.4413604736
2008-04-01,2415394.691619873,1869492.8430175781,1775035.643005371
2008-05-01,1973220.986480713,1909289.6520996094,1852345.7116699219
2008-06-01,1988215.4697418213,1632953.9465332031,1236283.935699463
2008-07-01,1600398.55178833,1001130.7159423828,550574.4163513184
2008-08-01,1524567.5216674805,502595.66162109375,300672.22566604614
2008-09-01,1112745.9436798096,236826.9854736328,193764.15862083435
2008-10-01,1300611.9108581543,317571.768951416,887495.6637954712
2008-11-01,950031.1330032349,498089.2868041992,1569618.1940460205
2008-12-01,993678.8962554932,379896.1097717285,907866.1288833618
2009-01-01,1446961.31275177,608782.7416992188,873951.6738510132
2009-02-01,1679621.5396499634,671014.7259521484,1379869.242324829
2009-03-01,2482274.3156433105,1437966.2603759766,1725319.3057250977
2009-04-01,2022307.1445465088,1878955.7958984375,1916229.6723175049
2009-05-01,2971298.317565918,2203137.24609375,2317716.3578796387
2009-06-01,2880005.2143859863,1822834.5666503906,1703413.3042144775
2009-07-01,1855833.3520889282,1288180.1568603516,771657.9493331909
2009-08-01,1617574.2232131958,622087.3168945312,432434.3844795227
2009-09-01,1364811.498413086,348469.2663574219,308093.74128341675
2009-10-01,1272037.889328003,581432.7310180664,2046346.1643218994
2009-11-01,1152583.7983703613,522042.92907714844,777866.8606567383
2009-12-01,976347.4005889893,368627.1611022949,931050.4034042358
2010-01-01,1068383.0981826782,497269.423828125,1138261.456604004
2010-02-01,1684353.7497711182,708413.8128662109,1327190.6462860107
2010-03-01,2332860.760574341,1552312.1887207031,1913585.8117675781
2010-04-01,2370402.578430176,1830282.6708984375,2824774.4998168945
2010-05-01,3127328.607788086,2205873.017578125,2446119.9055480957
2010-06-01,3365983.2094573975,2399616.3647460938,2034735.8182525635
2010-07-01,2619824.1551971436,1816747.8112792969,1114163.158378601
2010-08-01,2160213.3544921875,858540.673828125,520349.84115600586
