,cri,mas,gfz,csr,jpl,grace_median,gldas_sm,tc_sm,gldas_swe,fldas_swe,res_ts,swe,sm,grace,t,ts_savgol
2009-09-30,-41.409009370311026,-35.33405747717845,-42.69042967040644,-33.48716565839525,-31.497791387886696,-33.48716565839525,28.428348161201214,5.111600497095781,0.0017460203327584732,0.0,20.71580444148,0.0008730101663792366,16.769974329148496,-29.404129551743637,-29.404129551743637,-11.464957993820853
2009-10-31,-44.27366130032991,-37.961105964454624,-36.61363882364021,-31.48309111847394,-33.03225878157353,-33.03225878157353,34.15456994661027,6.206899106061454,0.053051472396506004,0.0912036420721729,20.23494706524,0.07212755723433945,20.180734526335865,-36.03341614958886,-36.03341614958886,-9.070086474678018
2009-11-30,-32.60165399286269,-27.78819156460257,-39.124822404084696,-41.411911114728376,-43.85026603758058,-41.411911114728376,38.800607605763105,6.6994990952500215,0.25007411435066423,0.35220798908909995,19.71178009152,0.3011410517198821,22.750053350506562,-43.687076459664624,-43.687076459664624,-7.338664457745495
2009-12-31,-18.383843636795955,-15.951927480165315,-40.40248516636853,-24.29969323362143,-28.092849203917112,-28.092849203917112,47.50511497095209,15.513057886895487,1.1982145168457545,2.7323393066443615,20.49498191796,1.965276911745058,31.50908642892379,-39.29921996879952,-39.29921996879952,-7.220310766211882
2010-01-31,5.168937870324348,4.65756889082273,-13.789420489567567,-10.329561393538508,-21.513764940962936,-13.789420489567567,64.73247560724549,29.53951462101434,2.5967312796800988,6.335946165687113,23.96168855928,4.466338722683606,47.13599511412991,-35.38409762703223,-35.38409762703223,-7.099792949341337
2010-02-28,11.051403619387777,10.245959564526663,13.008135798876461,18.864920239452246,13.133632263980346,13.133632263980346,69.13026309768179,31.02148208870942,2.1710785931896517,9.829179848120361,27.044359836960002,6.0001292206550065,50.075872593195605,5.577293009263249,5.577293009263249,-8.13352723103369
2010-03-31,13.787789276408505,12.102477358722574,15.809569407186766,26.526060515113873,27.568066328382116,26.526060515113873,82.10491495608622,28.458314512442627,1.3040133320166316,9.62041077333746,30.16692925872,5.462212052677046,55.28161473426442,18.73566612026302,18.73566612026302,-9.771728769860864
2010-04-30,3.5262137992078664,3.172687257250749,19.151711725725765,31.627336956711613,19.747374583566216,19.747374583566216,79.06829851715203,28.046681402822173,0.44672607794061925,7.137531339605346,33.243951198,3.7921287087729825,53.5574899599871,20.064560762467604,20.064560762467604,-9.74205222556819
2010-05-31,2.523250486433257,2.879726382997931,18.203945702173723,30.113481343704063,5.487806719683598,18.203945702173723,74.99079397258215,21.95475435579593,0.061146664302864986,3.146176196345499,34.67519627988,1.603661430324182,48.47277416418904,24.045883694540585,24.045883694540585,-10.372690371489924
2010-06-30,-9.832499047050275,-7.6396294406706255,22.646886556553348,22.585116512047406,23.36466569713348,22.646886556553348,61.67907016744688,14.476012650749393,0.0073228772520711055,0.6671689896666618,36.76597571688,0.3372459334593665,38.07754140909814,32.217755371509064,32.217755371509064,-7.917697616270604
2010-07-31,-25.11721322548594,-20.75707164115928,-11.684892553593448,-2.0958685418289416,3.071281255359453,-2.0958685418289416,47.035690619433154,9.40008577647034,0.0003086650130883834,0.022410170623950516,33.33467241852,0.01135941781851945,28.217888197951748,11.520974483318295,11.520974483318295,-4.1207290802967975
2010-08-31,-32.23553065391838,-27.197691226805787,-13.176036332459546,-12.132777574226589,-20.656939718438,-13.176036332459546,36.72649819469761,7.172642118797353,0.001330216099565124,0.0,29.58285921,0.000665108049782562,21.949570156747484,-3.1452107729665437,-3.1452107729665437,-0.279892812018649
2010-09-30,-34.38576163279149,-28.60446005685187,-25.104061622892424,-29.303561113094975,-29.76591953115073,-29.303561113094975,31.93032118021158,5.896658046516202,0.010929612618641832,0.00036213367181138826,27.37257282972,0.00564587314522661,18.91348961336389,-24.062174954526824,-24.062174954526824,4.085417094195102
2010-10-31,-23.01761089085262,-19.02967667403487,-25.629486562150145,-30.777648611271058,-28.663383429353296,-28.663383429353296,35.899854111414356,7.84487978431187,0.03678201466238209,0.08059288642258636,27.05534644332,0.058687450542484226,21.872366947863114,-31.35807595484978,-31.35807595484978,8.75270657634303
2010-11-30,-6.299732818301416,-4.5669930305209885,-12.604289238168702,-14.43739847870521,-20.522764658450907,-14.43739847870521,46.73751434002867,14.624373289408956,1.1810901929597168,2.276049779137593,27.66772855848,1.728569986048655,30.680943814718812,-25.52823999622708,-25.52823999622708,12.069407357237242
2010-12-31,,,5.562007515084094,-0.7913580175539159,-5.141798829374952,-0.7913580175539159,67.59998176808857,31.368612118479014,3.146284754881547,8.452157131016046,31.69851917208,5.799220942948796,49.484296943283795,-27.69615271661904,-27.69615271661904,13.762598812777721
2011-01-31,,,,,,,85.14664491508813,31.396194220994964,4.539193532504951,15.360713754674373,32.97749608188,9.949953643589662,58.27141956804155,,-2.7577979607475775,13.818704751975694
2011-02-28,51.69270166167694,45.73021171937912,19.02427342101041,22.46477217419248,18.67381539124452,19.02427342101041,77.98582919585527,32.32678215058212,2.8132374012066115,13.767301962511475,34.59601056432,8.290269681859042,55.1563056732187,22.180556795123884,22.180556795123884,15.432296077269905
2011-03-31,44.11410765355738,38.339651514384556,45.397051863460426,50.918798881278626,48.41438607663384,48.41438607663384,95.23425494444766,33.648325707971175,3.762040062966817,18.22387408278384,37.4397012594,10.99295707287533,64.44129032620941,33.58302333754683,33.58302333754683,16.36936513320164
2011-04-30,37.52009021050566,32.74887755019558,63.29664294202848,53.251230453139854,55.13805539621955,55.13805539621955,88.71798244447457,26.829060586402445,1.023967893148009,14.905053887438187,38.90816783376,7.9645108902930986,57.77352151543851,63.365803815212686,63.365803815212686,16.598135899598972
2011-05-31,,,43.89381996296462,38.38993257266247,45.25013049859503,43.89381996296462,78.99765229426198,21.024090261506817,0.0945186471168843,6.999710659962625,40.34414454492,3.547114653539755,50.0108712778844,54.63788972611207,54.63788972611207,17.482619723110382
2011-06-30,,,,,,,67.44493933056468,15.090974196500284,0.01441243096929133,2.8171481601879917,43.31576808516,1.4157802955786416,41.26795676353248,,48.633076393988304,19.575289489559285
2011-07-31,17.140723766598292,16.336123852083688,24.225060082827518,29.92617923650003,30.449556696176675,29.92617923650003,52.665161859113,9.739539512631216,0.0006442288925566853,0.24980400653645488,41.96984651532,0.12522411771450578,31.20235068587211,42.62826306186454,42.62826306186454,20.891529855916268
2011-08-31,-11.4576462806571,-9.602614635701311,4.994254264460922,15.893536910446725,15.956047679931267,15.893536910446725,40.721384305323205,7.355630171823889,0.000508462507333883,0.033932428637944344,38.2019363928,0.017220445572639114,24.038507238573548,26.933294152407154,26.933294152407154,22.710850232521445
2011-09-30,-11.895370902798733,-9.483970560924902,-3.7907671540084036,-1.0559030839389252,-5.587510117025205,-3.7907671540084036,33.86267800905321,5.986312437722252,0.0025725060155869137,0.0,35.44523934168,0.0012862530077934569,19.924495223387733,3.095876104862256,3.095876104862256,22.779474443569033
2011-10-31,-16.50934148192797,-13.53731764072298,-16.137295988150857,-8.551810623950672,-1.5461627141914698,-8.551810623950672,37.59044015897467,5.853791298285327,0.054281480349428424,0.09791016929248836,34.22110295268,0.07609582482095839,21.72211572863,-9.200104312006102,-9.200104312006102,21.079141324643924
2011-11-30,,,,,,,39.8466173145709,8.961166963052223,0.4106025659361168,0.836952161413723,33.38501443776,0.6237773636749199,24.40389213881156,,-10.19646536109734,18.53850636705557
2011-12-31,-42.79259283248903,-35.47679943909281,-20.709323602082616,-8.378485134117714,-9.537716109802542,-9.537716109802542,44.61100212539637,8.783260401154813,0.1967499952655039,0.8313656113683482,32.85660517404,0.5140578033169261,26.69713126327559,-11.192826410188578,-11.192826410188578,14.358338776460876
2012-01-31,-14.592734895410983,-12.009751919264854,-11.288182606298776,-5.42639020115107,-7.525218710820273,-7.525218710820273,50.56250817828562,17.049334049364333,0.7664806991244953,1.8481223703233638,33.06790153152,1.3073015347239296,33.80592111382498,-15.638548650256666,-15.638548650256666,9.263639229822141
2012-02-29,-4.422342949759639,-3.0766426280493664,16.123595392427784,1.522359785477029,3.6821242914137637,3.6821242914137637,55.76392890048853,17.896868832223475,0.5085043671751308,3.0503198198411487,32.54075411784,1.7794120935081397,36.830398866356006,0.7126833937785249,0.7126833937785249,3.572136264454413
