,modis,gldas,gridmet
2011-12-01,878421.0549545288,378504.62127685547,1104181.2940979004
2012-01-01,1034481.3158798218,556367.2146606445,1291444.3412017822
2012-02-01,1518752.8540420532,897867.7624511719,1679445.83152771
2012-03-01,1880557.0748519897,1258664.5294189453,2698208.506164551
2012-04-01,3041771.3820648193,1847282.4426269531,4174861.8823242188
2012-05-01,2342141.1419677734,2097531.7602539062,6580331.828613281
2012-06-01,2933678.060760498,1583488.740234375,7446685.602722168
2012-07-01,2206671.9248199463,1011297.0355224609,8130604.369812012
2012-08-01,1399875.5820465088,531511.5316772461,7623471.637573242
2012-09-01,1442548.7120819092,248396.34979248047,5608725.581359863
2012-10-01,1575331.453742981,296559.8094177246,3728202.5788879395
2012-11-01,946589.9460411072,325689.48165893555,1879167.214050293
2012-12-01,1162558.5400772095,496668.4991455078,1014986.8696975708
2013-01-01,1371646.6918945312,624472.8991699219,1235142.4115753174
2013-02-01,1744607.1557235718,889450.4278564453,1554168.9337921143
2013-03-01,2392650.908432007,1456197.1105957031,3123706.979827881
2013-04-01,2138282.2924804688,1977850.1623535156,4840992.763824463
2013-05-01,2881065.6621551514,1739455.9167480469,6251557.085266113
2013-06-01,2538699.549636841,1336821.4379882812,7491202.849731445
2013-07-01,2090282.1041107178,880791.9763183594,8382009.957275391
2013-08-01,2127480.429611206,450471.8655395508,7341472.911071777
2013-09-01,1721958.5529327393,337592.2961425781,5519904.620361328
2013-10-01,976801.7611312866,334291.8795776367,3550358.5317993164
2013-11-01,1035678.6220550537,356766.32263183594,1927573.1021118164
2013-12-01,827204.284286499,322014.10583496094,1181887.495765686
2014-01-01,901323.1794548035,464662.1859741211,1511759.228439331
2014-02-01,1203585.9741210938,770300.7907104492,1801513.4449768066
2014-03-01,2197933.3575439453,1442952.5811767578,3192335.9074401855
2014-04-01,2196483.7589263916,1763559.580078125,4655486.391448975
2014-05-01,2750595.9329223633,1663497.5427246094,6704201.455993652
2014-06-01,2274617.1478271484,1095671.9036865234,7846335.758056641
2014-07-01,1514460.0191116333,635883.0908203125,8259707.018737793
2014-08-01,1968872.1906280518,423073.8088989258,7276963.123168945
2014-09-01,1538780.191040039,320796.4045715332,5662964.723510742
2014-10-01,998050.8725738525,436579.43939208984,3834736.542663574
2014-11-01,1215138.8606643677,436752.89978027344,1918619.779586792
2014-12-01,956090.424785614,511786.0739135742,1398826.5868377686
2015-01-01,1395198.864555359,607579.8651123047,1287042.7821350098
2015-02-01,1971848.187789917,1008372.5354003906,2002493.2097625732
2015-03-01,2468723.81149292,1553608.6358642578,3546650.662536621
2015-04-01,2021259.1065216064,1821045.7067871094,4620124.153289795
2015-05-01,2815237.822494507,1656156.6430664062,5681962.727050781
2015-06-01,2191801.0707092285,1468478.853149414,7702408.067321777
2015-07-01,2374934.7106933594,970203.6859130859,8120694.6826171875
2015-08-01,1766348.7935256958,476645.75408935547,7662740.65246582
2015-09-01,1356794.8036193848,237515.9243774414,5605347.664489746
2015-10-01,980815.0255966187,342652.10998535156,3710512.3919677734
2015-11-01,1164359.3578720093,472757.2998046875,1724312.7754211426
2015-12-01,1022428.9956665039,402026.55029296875,1071946.6565322876
