,cri,mas,gfz,csr,jpl
2009-11-30,-47.166701303930374,-38.501383974297404,-17.21968334254452,-18.595456918039886,-19.389586832534516
2009-12-31,-27.882027576568554,-22.914726000229134,-18.28742856281655,-11.052063250249851,-12.761498183494638
2010-01-31,4.023103868259822,3.7110787121533524,-6.695016741711667,-5.2089112167970475,-10.068978759008443
2010-02-28,11.816731948211956,10.753505367445412,5.554659860167608,7.6782405178248245,5.2706429757304925
2010-03-31,14.813154994282607,13.219881332817817,6.93238503551233,11.90525532368421,12.126253607439738
2010-04-30,1.509243852987585,1.6730726031395111,7.171706774864513,12.845125616890382,7.734298802380892
2010-05-31,-1.0683750307641473,0.3720802198076533,6.567471523370379,12.134558971072538,1.5231957289549987
2010-06-30,-15.293010179194662,-10.911063648833286,8.559303569290432,8.876147735194944,9.512843360975353
2010-07-31,-35.086661741947935,-27.452755464126824,-4.85284907534458,-0.6274606359133792,1.9048199545132223
2010-08-31,-44.7109946099944,-35.912715233668294,-5.5750116944227575,-5.007360635554126,-8.826637762082244
2010-09-30,-49.520019264883416,-39.88069460847077,-10.215936077843748,-12.26457440051475,-12.395061932611808
2010-10-31,-33.676159384501815,-26.721531948563534,-10.907040262783509,-13.201241028892971,-12.28912215917979
2010-11-30,-11.863632380449458,-8.552050801611841,-5.811945315488088,-6.648737986926926,-9.164086181579137
2010-12-31,20.210201144346783,18.513967976765578,1.1672726953934291,-1.5112428201282468,-3.2626881675856283
2011-01-31,51.187422466324044,44.54161619929587,3.998895567185296,2.1755658358313292,0.5943773640158915
2011-02-28,64.55428555365053,55.20110241438804,8.006609780126388,9.261158288126332,7.4198903754292544
2011-03-31,56.82324265925248,47.695808605526935,19.208655502308016,21.530574285726683,20.683370807367396
2011-04-30,48.14847304703935,41.12414976044725,26.456315493802688,21.979092719952735,22.925270326813074
2011-05-31,45.78651795770491,40.44888539786736,17.38414983274462,15.017676105837346,18.243380568019315
2011-06-30,40.2965519410981,36.656082268534085,13.209458418779507,13.38017106647151,15.571666007300024
2011-07-31,18.16146053094474,17.711993617522115,10.502085077102452,13.024443099759514,13.366520885850166
2011-08-31,-16.55229349269991,-12.897344213526784,2.4709906627126275,7.390935761930973,7.2863524347986885
2011-09-30,-18.040213692529527,-14.294478259417163,-1.440840729058934,-0.06679103279823372,-1.718756976019908
2011-10-31,-25.545961334093718,-20.041080327878266,-6.454314550803986,-2.640241560368973,0.543294720034772
2011-11-30,-58.51492760085326,-46.32816614511892,-9.640677151406507,-3.6212748211524164,-0.4997826523472269
2011-12-31,-69.00197010196219,-54.894841818266606,-9.37055763157749,-3.7873244993319246,-4.024380256067828
2012-01-31,-27.48723049004814,-21.90286678779878,-5.3354828348306365,-2.8327187532614446,-3.808130966837296
2012-02-29,-14.059986520145134,-10.261067543731546,6.068064928452637,-0.6925347918759828,0.2318030036448045
2012-03-31,10.901771069701255,10.810575984241916,36.6041992358096,7.496107761868993,7.560437920291098
2012-04-30,9.114044696245056,9.474408603733265,38.064078001300736,10.945331297838434,11.676919467455159
2012-05-31,-14.535596784289051,-10.164529393077302,18.073691858211287,8.409079137651707,10.97955904239146
2012-06-30,-34.099607364822205,-26.730083196925342,3.9217220558230474,2.215217239463251,5.21023096585676
2012-07-31,-33.91837307842004,-26.83526446774712,6.234394022700067,-4.640549035531452,-3.492394762327889
2012-08-31,-36.47606661435623,-27.972636743936768,-3.9454701530650556,-6.665596571162071,-5.153544117441268
2012-09-30,-62.75591135898033,-48.35840725638434,-6.329692205924771,-8.333195490496655,-3.8667469558501226
2012-10-31,-86.18693758836096,-66.92761479964511,-13.58079635910519,-13.636754247710234,-6.779870414339171
2012-11-30,-65.7474266992963,-50.67477568528377,-13.948758840439845,-11.133472109643394,-7.174471223344047
2012-12-31,0.2177357659243945,1.892621241222509,0.9850769514405064,2.7465034194940183,0.41556216033018883
2013-01-31,1.2327554414022406,2.774061127652034,1.4982338698443882,1.8719920214330668,4.978417387340092
2013-02-28,-20.686830272592378,-13.579280310650345,-3.5555096013670204,5.280871505872108,3.390986101263244
2013-03-31,-42.80586736266534,-29.96314635904448,-7.306314949673744,3.9898413112428153,-1.2816724867460985
2013-04-30,-50.48167197168569,-36.73203347588716,-6.233387123906841,0.8294641652163447,-2.9719288108743576
2013-05-31,-44.455759429702994,-34.69719657271717,-2.3642783076399714,0.2616313839937659,-2.8460854213658604
2013-06-30,-54.594805507490456,-43.04231783903058,-8.562794254650898,-5.964529149798428,-14.68315666812706
2013-07-31,-59.694734449026654,-46.89350149226073,-15.84734113465933,-9.197871416224151,-11.691362983229677
2013-08-31,-62.39403054870988,-49.290467804061585,-19.617573390531682,-9.388740231592056,-7.599860410348568
2013-09-30,-75.95101368450922,-60.8780680172454,-20.426116776657114,-9.944582088509577,-8.723382918307271
2013-10-31,-93.98221840978061,-76.15489455948723,-19.33254526859647,-14.089244803434225,-15.555577810013453
2013-11-30,-69.84672990670407,-56.455044386095295,-18.537729561097514,-19.82675305371616,-23.13325003930281
2013-12-31,-73.68309983016225,-59.32274437296755,-20.460625872720527,-16.061421597699788,-18.571561019066234
2014-01-31,-101.93101532331441,-80.71372733018327,-15.444102035882104,-17.783666259048342,-18.938014289118392
2014-02-28,-122.09560653586679,-95.64076076082532,-9.490661983915697,-14.735884220522507,-12.361048291107117
2014-03-31,-110.07858220910441,-86.18367105721352,-5.78214199854474,-7.39567753037324,-5.35718363088792
2014-04-30,-64.4690806140495,-51.4142218935391,-8.181094250075345,-4.6665931081357455,-9.446777322003532
2014-05-31,-63.55705020476338,-50.11558252981945,-15.797630199065207,-12.042681562362919,-12.42114482360076
2014-06-30,-76.3218081012601,-60.18269904079737,-15.411841968869865,-11.34959895500285,-8.50240507965246
2014-07-31,-88.72561652339942,-70.73538689776052,-16.75057090601873,-14.153638663914794,-14.794684634380129
2014-08-31,-101.08468618862922,-81.51752014614866,-19.38409281662054,-19.460225470458898,-24.064828550703435
2014-09-30,-111.52956427337736,-90.9915535411516,-21.44822327852749,-21.63462930993628,-24.22048253653232
2014-10-31,-109.14702479925431,-88.31739688867867,-27.329525869284083,-21.76255511096515,-20.145947099289906
2014-11-30,-125.2554025381012,-99.31990495120671,-25.037311381769516,-21.66012256722785,-24.12253450140174
2014-12-31,-140.07348484531303,-109.43715473550225,-23.06616883222574,-14.635752316582856,-19.73700962366993
2015-01-31,-113.53466571821113,-88.01058075616928,-16.22604587455416,-9.840880348626875,-13.298139694450912
2015-02-28,-58.6059579155576,-45.55472298472912,-3.2769549981008117,-10.739637344847717,-11.04254752604263
2015-03-31,-77.72379300198314,-61.76617983711598,-8.051472382984816,-6.412330147244682,-5.037839224330583
2015-04-30,-87.12825906844039,-69.49407278002825,-36.74756844313592,-37.34407376591937,-30.70007599074085
2015-05-31,-95.78485254590845,-76.77496444517045,-35.68035853500609,-37.8152199347467,-38.25043161598115
2015-06-30,-100.43017813018622,-80.522090004956,-20.4114136137913,-20.61051896825704,-30.194493307769466
2015-07-31,-98.71380974456682,-78.64283878009195,-19.266843348082094,-17.943372897715516,-25.706102512711272
2015-08-31,-119.40953908456082,-95.74228344415644,-25.27246266270042,-23.788234042086383,-25.529020599794816
2015-09-30,-117.87962847018024,-95.87845476149073,-26.175058339939323,-25.045058175564893,-25.32529780715752
2015-10-31,-96.85064658326849,-80.18771650345285,-25.99057967589339,-22.724798026655346,-22.213910210449786
2015-11-30,-78.45919749464935,-65.11978902830617,-25.198422668200056,-19.614366208714245,-19.60589606243335
2015-12-31,-83.18770552984272,-65.79743564074371,-22.25998432926566,-17.81369203220736,-22.206934743275056
2016-01-31,-91.30977603817759,-68.03645817412978,-16.09291558439844,-16.39486169783968,-28.181959966218244
2016-02-29,-15.56860243507521,-9.422582962095522,-8.786752503656492,-7.516021210663332,-18.514360072365527
2016-03-31,-18.01741427488753,-12.161051411321047,-5.026410044618532,-1.4464589094842548,-2.636444105507065
2016-04-30,-82.20324894877791,-62.63362565665976,-9.007935665899373,-9.745460754328095,1.8696102440371063
2016-05-31,-120.55567353994282,-93.50952879429809,-12.535945672865433,-17.327799278213785,-6.3275641876692506
2016-06-30,-85.10682973200346,-67.57254966470381,-11.048412997611381,-13.982996870009732,-21.604937382312134
2016-07-31,-70.9344079042584,-57.240605844936155,-21.041215877098374,-22.985884731018995,-28.878620963768302
