,prism,chirps,persiann,trmm,modis,gmet_eto,gmet_etr,fldas,terraclimate,p_mean,et_mean,qs,c2v_s,ds
2008-06-30,0.05639145226692765,0.8432428383733924,0.6934290514185004,0.6924310020596149,4.484652444437083,32.89137651307648,44.19122408951397,7.395406908645407,4.473912932875244,0.5713735860296089,18.68731457770964,0.8301461824512001,5628.207691735334,-18.946087174131232
2008-07-31,0.2163744245364681,0.36967926083701586,0.6669100085374822,0.5841287889285416,3.6329612054054166,34.98095591724662,46.406108996400604,4.944104294336897,1.9288642814048385,0.4592731207098769,18.378598938958874,0.9495144069120003,5625.973559638173,-18.868840225160998
2008-08-31,0.13082038426136028,0.49859682317756465,0.6301671184593276,0.6565913793139748,3.4496800739295876,31.974863603285456,43.810350559918795,2.672874079169118,1.1136773286410042,0.47904392630305687,16.60428912898879,0.8203354306559999,5623.344646080188,-16.945580633341734
2008-09-30,0.142775842705413,0.9509527417779908,0.7704781359493185,0.61539950530498,2.52173342017536,24.610141969389264,34.92890364756867,1.330223499485131,0.7077310187375437,0.6199015564344256,12.819746711071193,0.7583882397696001,5620.9137443033,-12.958233394406367
2008-10-31,3.9866966673190234,4.78070237359237,4.023912669566842,4.52627122353705,3.000664496259714,15.862216158580594,23.61275424183771,1.5254863405523147,3.2541425083813644,4.329395733503821,9.451052749122338,0.5891099563008,5620.351422838034,-5.710766971919317
2008-11-30,11.232498276306515,11.416417632659602,11.09242333879513,11.914301263759532,2.1655137414356838,7.691927575137732,11.442652320726564,2.8540268108461158,6.405503591949653,11.413910127880195,6.1119248080191495,0.7148637324288,5620.445585784264,4.587121587432246
2008-12-31,13.012299075388626,9.284523378227082,9.818768630180436,10.644357541141769,2.400995732673155,4.908669691154747,7.464326684986059,1.6682929188737143,3.0085547900024476,10.68998715623448,3.890167963538025,0.6729784280064001,5620.888942598116,6.126840764690056
2009-01-31,8.458217371699304,6.28628110583104,8.475311778720359,9.89561286347965,3.1945551122066576,7.2897966762750785,11.18903943767901,3.214791502670257,3.2356509409874317,8.278855779932588,5.624766733963686,0.6934073001983999,5621.395110327298,1.9606817457705015
2009-02-28,23.791272972625464,22.08974075265055,18.431863637848785,19.908869881968272,4.013741291746083,7.185818629098978,10.086987187004441,4.273358780949977,5.146145596862544,21.055436811273267,6.141210297132405,1.4022280009728,5622.314345137715,13.511998513168063
2009-03-31,13.041916094957086,11.535418388919501,10.650733297135613,11.334244252550358,5.522735858983555,13.467416739881259,18.20437871273623,6.292132866967645,6.8686533945793755,11.640578008390639,10.071063514629612,1.7155359498240006,5622.373605041405,-0.146021456062974
2009-04-30,3.8202148723872447,4.896641837228805,4.59001259126155,5.195114784692757,4.629006526023479,19.350757097759,25.711006096365338,7.386473908285431,7.626571069966458,4.625496021392589,12.940762939679942,0.9984458373120001,5621.683849986339,-9.313712755599353
2009-05-31,8.08802897102578,6.602390288059564,6.001095375948492,6.3399652118537295,6.75410428407005,28.04208748045306,36.88998749651017,8.48071926592244,9.158300381126578,6.757869961721892,17.865039781616463,1.241879703552,5620.381687633297,-12.349049523446572
2009-06-30,3.8219046448287757,2.5489283672311416,3.8411685938887756,3.650495025695753,6.805843975386855,27.40700307784466,35.18705548504072,6.959897685076306,6.6074375045786615,3.4656241579111113,16.59344754558544,0.8773405470720002,5618.725311784449,-14.00516393474633
2009-07-31,0.1638009068033005,0.40055124859940355,0.3374164285342562,0.3646556552571076,4.194326480992778,35.02617658259607,46.48297792198773,6.069510339036342,2.613846864556675,0.31660605979851697,18.87736763783392,1.4124057384959996,5616.417558403147,-19.973167316531402
2009-08-31,0.5266352735306976,0.7474114356170876,0.6737879305318242,0.6114292995604074,3.6560563134451964,30.8535795922563,42.023047857229244,3.426017257025176,1.5710010657089253,0.6398159848100042,16.305940417132966,1.1447508142080003,5613.816518182827,-16.810875246530962
2009-09-30,0.41778800654317066,1.0592053701482034,1.0843252102971077,1.1360212140191774,3.109859692429955,24.704303429993,35.03736583175499,1.9219182106039128,1.1484838404943312,0.9243349502519148,13.184386201055238,0.8403973171199999,5611.502196181335,-13.100448567923323
2009-10-31,12.291411607917032,8.039633468817993,9.700910236252392,9.511569201732055,2.9590155840283106,14.078849652619507,20.29036986821962,2.0701587664262586,8.046247294945484,9.885881128679866,9.488928233247837,0.7418249505792001,5611.510827122014,-0.34487205514717045
2009-11-30,4.082148562350969,5.290701104634008,5.67634726875214,6.29381668646588,2.736445936111536,8.36575144150368,12.641982902442964,2.1986680502059146,2.9713852165256536,5.335753405550749,5.782846709357949,0.6611370218496,5611.503709588244,-1.1082303256568005
2009-12-31,16.36496276541307,14.141117275211347,12.810589268042337,13.444495595931624,2.2002145198425347,4.774422703163376,7.179393472733766,2.053975048861078,2.9741887495581616,14.190291226149593,3.8364388988317835,0.8048486329343998,5612.065448057094,9.54900369438341
2010-01-31,28.107687973834143,24.527459760088703,21.00971502657869,21.866084114159335,2.5907573393359806,4.977364956167154,7.0996222345567945,3.196548348215401,4.3089183537396964,23.87773671866522,4.434642246403005,2.0332721931264004,5613.6068085040715,17.409822279135813
2010-02-28,17.05540467145324,16.675506393838397,14.472828739500653,16.729768223921905,3.875574374285554,6.5911653613655785,8.729995606784572,4.061447930135275,5.020944708373084,16.23337700717855,5.655825596188811,1.9861267599359993,5615.103403600572,8.591424651053739
2010-03-31,10.110249762959334,10.763061008284621,9.273569518188584,9.327192155180736,5.414223213557562,12.842163915625383,17.140649379059926,7.032474530446971,7.317469476219081,9.86851811115332,9.949396102981783,1.4975464273920005,5615.903325746814,-1.5784244192204644
