,runoff,soil_moisture,swe,prism,chirps,persiann,trmm,daymet,modis,gmet_eto,gmet_etr,fldas,terraclimate,p_mean,et_mean,q_out1,q_out2,res_s,c2v_s
1993-04-30,,,,,,,,,,,,,,,,,,,5639.880712086478
1993-05-31,,,,,,,,,,,,,,,,,,,5639.928373912353
1993-06-30,,,,,,,,,,,,,,,,,,,5639.772393911301
1993-07-31,,,,,,,,,,,,,,,,,,,5639.063642197776
1993-08-31,,,,,,,,,,,,,,,,,,,5638.261351512063
1993-09-30,,,,,,,,,,,,,,,,,,,5637.047077594524
1993-10-31,,,,,,,,,,,,,,,,,,,5637.189006519092
1993-11-30,,,,,,,,,,,,,,,,,,,5637.810884860535
1993-12-31,,,,,,,,,,,,,,,,,,,5638.638934241834
1994-01-31,,,,,,,,,,,,,,,,,,,5639.4944366678155
1994-02-28,,,,,,,,,,,,,,,,,,,5640.580214489765
1994-03-31,,,,,,,,,,,,,,,,,,,5640.730625814468
1994-04-30,,,,,,,,,,,,,,,,,,,5640.569169251649
1994-05-31,,,,,,,,,,,,,,,,,,,5638.818037406432
1994-06-30,,,,,,,,,,,,,,,,,,,5637.143965720371
1994-07-31,,,,,,,,,,,,,,,,,,,5635.243760547239
1994-08-31,,,,,,,,,,,,,,,,,,,5633.034701768073
1994-09-30,,,,,,,,,,,,,,,,,,,5630.897116852954
1994-10-31,,,,,,,,,,,,,,,,,,,5630.334777420478
1994-11-30,,,,,,,,,,,,,,,,,,,5630.744256182048
1994-12-31,,,,,,,,,,,,,,,,,,,5631.351547619136
1995-01-31,,,,,,,,,,,,,,,,,,,5634.115324895892
1995-02-28,,,,,,,,,,,,,,,,,,,5635.659961975431
1995-03-31,,,,,,,,,,,,,,,,,,,5638.761903916993
1995-04-30,,,,,,,,,,,,,,,,,,,5640.442590539856
1995-05-31,,,,,,,,,,,,,,,,,,,5640.9708056382215
1995-06-30,,,,,,,,,,,,,,,,,,,5640.800175138379
1995-07-31,,,,,,,,,,,,,,,,,,,5640.284396460675
1995-08-31,,,,,,,,,,,,,,,,,,,5639.669698806844
1995-09-30,,,,,,,,,,,,,,,,,,,5638.8136646933735
1995-10-31,,,,,,,,,,,,,,,,,,,5638.692568859052
1995-11-30,,,,,,,,,,,,,,,,,,,5639.088640997233
1995-12-31,,,,,,,,,,,,,,,,,,,5640.223655468931
1996-01-31,,,,,,,,,,,,,,,,,,,5641.596359921353
1996-02-29,,,,,,,,,,,,,,,,,,,5643.733618532926
1996-03-31,,,,,,,,,,,,,,,,,,,5645.3293574046975
1996-04-30,,,,,,,,,,,,,,,,,,,5646.276299174381
1996-05-31,,,,,,,,,,,,,,,,,,,5646.4047751148455
1996-06-30,,,,,,,,,,,,,,,,,,,5645.848341683345
1996-07-31,,,,,,,,,,,,,,,,,,,5644.941977991767
1996-08-31,,,,,,,,,,,,,,,,,,,5643.872589352549
1996-09-30,,,,,,,,,,,,,,,,,,,5642.207257813349
1996-10-31,,,,,,,,,,,,,,,,,,,5642.407311438069
1996-11-30,,,,,,,,,,,,,,,,,,,5643.094200932196
1996-12-31,,,,,,,,,,,,,,,,,,,5645.382785639663
1997-01-31,,,,,,,,,,,,,,,,,,,5648.5649587831485
1997-02-28,,,,,,,,,,,,,,,,,,,5650.474574479407
1997-03-31,,,,,,,,,,,,,,,,,,,5651.587941571428
1997-04-30,,,,,,,,,,,,,,,,,,,5652.067317351181
1997-05-31,,,,,,,,,,,,,,,,,,,5651.214235239168
1997-06-30,,,,,,,,,,,,,,,,,,,5650.3885679493105
1997-07-31,,,,,,,,,,,,,,,,,,,5649.062400535665
1997-08-31,,,,,,,,,,,,,,,,,,,5647.515017340765
1997-09-30,,,,,,,,,,,,,,,,,,,5645.668130886454
1997-10-31,,,,,,,,,,,,,,,,,,,5645.638971558822
1997-11-30,,,,,,,,,,,,,,,,,,,5646.3999309497585
1997-12-31,,,,,,,,,,,,,,,,,,,5647.19395761572
1998-01-31,,,,,,,,,,,,,,,,,,,5649.120690726542
1998-02-28,,,,,,,,,,,,,,,,,,,5652.228164495061
1998-03-31,,,,,,,,,,,,,,,,,,,5654.635318747148
1998-04-30,,,,,,,,,,,,,,,,,,,5656.02315096081
1998-05-31,,,,,,,,,,,,,,,,,,,5656.697086757121
1998-06-30,,,,,,,,,,,,,,,,,,,5656.050686625471
1998-07-31,,,,,,,,,,,,,,,,,,,5655.111002695487
1998-08-31,,,,,,,,,,,,,,,,,,,5654.124746333995
1998-09-30,,,,,,,,,,,,,,,,,,,5652.882744167368
1998-10-31,,,,,,,,,,,,,,,,,,,5652.986350776796
1998-11-30,,,,,,,,,,,,,,,,,,,5653.680297773777
1998-12-31,,,,,,,,,,,,,,,,,,,5654.577869905475
1999-01-31,,,,,,,,,,,,,,,,,,,5655.762282896155
1999-02-28,,,,,,,,,,,,,,,,,,,5657.302397108667
1999-03-31,,,,,,,,,,,,,,,,,,,5657.948615958275
1999-04-30,,,,,,,,,,,,,,,,,,,5657.932045631034
1999-05-31,,,,,,,,,,,,,,,,,,,5656.543437875401
1999-06-30,,,,,,,,,,,,,,,,,,,5655.33988785318
1999-07-31,,,,,,,,,,,,,,,,,,,5653.936295052407
1999-08-31,,,,,,,,,,,,,,,,,,,5652.227447308009
1999-09-30,,,,,,,,,,,,,,,,,,,5650.448024459399
1999-10-31,,,,,,,,,,,,,,,,,,,5650.155629499603
1999-11-30,,,,,,,,,,,,,,,,,,,5650.421011582212
1999-12-31,,,,,,,,,,,,,,,,,,,5650.604019290363
2000-01-31,,,,,,,,,,,,,,,,,,,5651.618165505136
2000-02-29,,,,,,,,,,,,,,,,,,,5653.616411406557
2000-03-31,,,,,,,,,,,,,,,,,,,5655.1472206780945
2000-04-30,,,,,,,,,,,,,,,,,,,5655.494208317931
2000-05-31,,,,,,,,,,,,,,,,,,,5654.735706744248
2000-06-30,,,,,,,,,,,,,,,,,,,5653.965682320426
2000-07-31,,,,,,,,,,,,,,,,,,,5652.639627220841
2000-08-31,,,,,,,,,,,,,,,,,,,5651.007997215976
2000-09-30,,,,,,,,,,,,,,,,,,,5649.048669242707
2000-10-31,,,,,,,,,,,,,,,,,,,5649.339885344612
2000-11-30,,,,,,,,,,,,,,,,,,,5649.376733253077
2000-12-31,,,,,,,,,,,,,,,,,,,5649.603719011166
2001-01-31,0.9939147446312158,13.683823413968817,1.8811264818115063,16.108940351424877,15.456440351467991,15.606873895864828,15.869959106163591,16.751653476161337,3.803093604181334,5.763130777209049,8.65508648184752,3.261285593618881,3.9178990743756805,15.760553426230322,5.080099106246492,,0.12168757426175998,23.92623341016,5650.451345800189
2001-02-28,3.30102794225142,18.94757078155947,3.863001774006263,20.353715489986094,17.199414023091617,18.917321125838374,20.718552324679443,20.561219595309773,3.4914511465122646,6.856339869026717,9.62979677880095,4.3347555414022905,4.720649280462608,19.297250740898882,5.806598523240966,0.9341551088400001,0.06296985778176001,25.57779405528,5651.421294929377
2001-03-31,3.806445170900832,18.812502422508725,4.19025358455453,9.507888692145464,11.756781050197441,9.646274016903547,9.015745381891115,9.776323069442464,6.028298874523007,13.831323965223625,18.202017673954067,7.389358359270276,8.669927216994985,9.981672285284391,10.824185217993191,1.0697540322,0.09813198366720001,28.06218066072,5651.9631164100165
2001-04-30,1.959142747790557,16.98807992016655,1.7006274413674707,10.405355678958967,8.846026287048998,8.959146459463698,10.005220557718227,10.435273625931316,4.924691469018857,16.438340758724113,21.208292979453585,7.866239513659929,9.299260423922547,9.553937245797472,11.947365028955804,1.3972676418,0.10337743300608,29.29663757688,5651.730711027027
2001-05-31,2.091404444025475,11.386107247762578,0.22415538070199303,0.2934325486750469,1.5563266867124697,0.6212818511581898,0.43587895836148816,0.23012960251186668,6.292865178986617,31.482353226091437,42.29876820568653,9.51439987113569,8.151635075649457,0.7267300112267986,19.548004311509946,1.55042145252,0.17461180938240006,29.414795093040002,5650.261744780242
