,trmm_p,prism_p,chirps_p,persiann_p
2011-03-01,1918680.6994628906,11156975.88684082,5478054.483032227,1933087.5769042969
2011-04-01,390515.01388549805,1734769.8207092285,990174.3461608887,389711.9599914551
2011-05-01,492292.20794677734,2657869.4956970215,1106959.6183776855,446370.54290771484
2011-06-01,451954.9401855469,2267423.4965515137,468437.5665664673,387631.5559387207
2011-07-01,44189.56209182739,281993.6274719238,63603.85065078735,63380.575675964355
2011-08-01,21841.31555557251,184621.72722816467,80273.45781326294,18956.512298583984
2011-09-01,60432.782135009766,321398.0890274048,284362.5846862793,82820.43663024902
2011-10-01,511694.7445678711,2448682.1658325195,1107475.6977081299,481036.1462402344
2011-11-01,700734.723815918,1899069.8332214355,1583651.953125,651506.0586547852
2011-12-01,337278.33984375,251448.49285125732,435956.7638397217,250852.5535583496
2012-01-01,1244833.0828857422,4843822.618103027,2703409.998321533,1030468.9141845703
2012-02-01,586467.9849243164,1552970.8795166016,1236158.9984893799,548369.4534301758
2012-03-01,1373835.7836914062,7635663.292236328,3824828.778076172,1349161.9189453125
2012-04-01,840801.4892578125,4629921.698913574,2229585.3149414062,685143.2263183594
2012-05-01,116548.9453125,439602.8435897827,323500.21476745605,94036.29077911377
2012-06-01,95905.98014831543,642218.6003494263,266642.4330711365,112354.1805267334
2012-07-01,26199.25100326538,114659.92790222168,64475.9651184082,24787.845497131348
2012-08-01,28097.877674102783,184845.2537727356,92227.05616950989,33050.901317596436
2012-09-01,41322.42879867554,72016.39194488525,196936.2955570221,34182.371406555176
2012-10-01,289116.93466186523,1349216.4056396484,759421.5906143188,285484.4219970703
2012-11-01,1328995.7830810547,5703766.004333496,3396752.414703369,1234225.7116699219
2012-12-01,1887693.1567382812,11055198.010253906,5227648.832702637,1712202.2314453125
2013-01-01,530077.4368286133,1363815.8020019531,1160730.4229736328,469393.75579833984
2013-02-01,426192.2204589844,733353.2298660278,611670.1217651367,295733.9465332031
2013-03-01,734468.8238525391,2023616.5727233887,1502067.7825927734,594227.6641845703
2013-04-01,415424.92950439453,1257741.777420044,789476.4799118042,298063.2417297363
2013-05-01,212296.41815185547,907605.8528137207,579678.3651351929,188412.30010986328
2013-06-01,146073.57261657715,1110217.8652954102,353294.7229385376,132439.72618103027
2013-07-01,27081.488513946533,282603.60231399536,106787.16645240784,33331.09937667847
2013-08-01,37945.285778045654,243713.9333152771,148302.13794708252,59878.04740905762
2013-09-01,178632.46101379395,1057012.2235107422,449571.0302352905,201853.14559936523
